TAG attribution location,TAG citation group,citation group,TAG confidence,TAG data cited,TAG dataset reused,TAG other,TAG problem,TAG repository,TAG source,abstract,address,annote,booktitle,dataset_id,doi,file,institution,isbn,issn,journal,keywords,mendeley-tags,month,number,pages,pmid,publisher,school,title,type,url,volume,year,num_cites,weighted,annotated,duplicates
,citation group 10-30, 10-30,high confidence,,dataset not reused,,,GEO,WoS,"Tanshinone IIA isolated from Danshen is widely used in Oriental medicine. However, the action of tanshinone IIA in inflammatory bone-resorptive diseases remains unknown. Here we examined the effect of tanshinone IIA in inflammation-mediated osteoclastic bone resorption. Tanshinone IIA inhibited osteoclast differentiation in cocultures of bone marrow cells and calvarial osteoblasts. Tanshinone IIA regulated the expression of receptor activator of NF-kappa B ligand and osteoprotegerin in osteoblasts treated with lipopolysaccharide (LPS). Also, tanshinone IIA inhibited prostaglandin E-2 (PGE(2)) synthesis by inhibiting Cyclooxygenase-2 (COX-2) expression induced by LPS. Furthermore, tanshinone IIA greatly suppressed bone loss in the mouse models of bone loss. Our findings suggest that tanshinone IIA inhibits osteoclast formation by inhibiting COX-2/PGE(2) signaling and by suppressing bone erosion in vivo. These results suggest that tanshinone IIA may be of therapeutic value as an anti-bone-resorptive drug in the treatment of bone-related disease. (C) 2008 Elsevier B.V. All rights reserved.","[Sun, Hyun-Min; Ha, Hyunil; Kim, Ha-Neui; Lee, Jong-Ho; Kim, Hong-Hee; Lee, Zang Hee] Seoul Natl Univ, Sch Dent, Dept Cell \& Dev Biol, DRI, Seoul 110749, South Korea; [Kwak, Han Bok] Wonkwang Univ, Dept Anat, Sch Med, Iksan, South Korea; [Shin, Hong-In] K","; data\_id:GSE2208; data\_collection\_article:Liu YZ, Dvornyk V, Lu Y, Shen H et al. A novel pathophysiological mechanism for osteoporosis suggested by an in vivo gene expression study of circulating monocytes. J Biol Chem 2005 Aug 12;280(32):29011-6. PMID: 15965235",,GSE2208,10.1016/j.ejphar.2008.10.034,:C$\backslash$:/Users/Jonathan/Documents/Mendeley Desktop/Eur. J. Pharmacol./Kwak et al./Kwak et al. - 2008 - 10035\_10-30Tanshinone IIA suppresses inflammatory bone loss by inhibiting the synthesis of prostaglandin E-2 in osteoblasts.pdf:pdf,,,ISI:000261825000005,Eur. J. Pharmacol.,"Article,GEO,LPS,Osteoclast,P,RANKL,Tanshinone IIA,WoS,citation group 10-30,dataset not reused,high confidence","GEO,WoS,citation group 10-30,dataset not reused,high confidence",December,03-Jan,30,,ELSEVIER SCIENCE BV,,{\^{}\^{}10035\_10-30\^{}\^{}Tanshinone IIA suppresses inflammatory bone loss by inhibiting the synthesis of prostaglandin E-2 in osteoblasts},,http://dx.doi.org/10.1016/j.ejphar.2008.10.034,601,2008,29,55.73913043,1,
,citation group 10-30, 10-30,high confidence,,dataset not reused,,,GEO,WoS,"It is commonly accepted that genes with similar expression profiles are functionally related. However, there are many ways one can measure the similarity of expression profiles, and it is not clear a priori what is the most effective one. Moreover, so far no clear distinction has been made as for the type of the functional link between genes as suggested by microarray data. Similarly expressed genes can be part of the same complex as interacting partners; they can participate in the same pathway without interacting directly; they can perform similar functions; or they can simply have similar regulatory sequences. Here we conduct a study of the notion of functional link as implied from expression data. We analyze different similarity measures of gene expression profiles and assess their usefulness and robustness in detecting biological relationships by comparing the similarity scores with results obtained from databases of interacting proteins, promoter signals and cellular pathways, as well as through sequence comparisons. We also introduce variations on similarity measures that are based on statistical analysis and better discriminate genes which are functionally nearby and faraway. Our tools can be used to assess other similarity measures for expression profiles, and are accessible at biozon.org/tools/expression/.","Cornell Univ, Dept Comp Sci, Ithaca, NY 14853 USA; Cornell Univ, Ctr Math Appl, Ithaca, NY 14853 USA; Cornell Univ, Dept Biomed Sci, Ithaca, NY 14853 USA; OXFORD; GREAT CLARENDON ST, OXFORD OX2 6DP, ENGLAND","; data\_id:GSE2239; data\_collection\_article:Shapira M, Segal E, Botstein D. Disruption of yeast forkhead-associated cell cycle transcription by oxidative stress. Mol Biol Cell 2004 Dec;15(12):5659-69. PMID: 15371544",,GSE2239,10.1093/bioinformatics/btl127,:C$\backslash$:/Users/Jonathan/Documents/Mendeley Desktop/Bioinformatics/Yona et al./Yona et al. - 2006 - 10027\_10-30Effective similarity measures for expression profiles.pdf:pdf,,,ISI:000238905700011,Bioinformatics,"Article,CELL-CYCLE,GEO,MIC,SACCHAROMYCES-CEREVISIAE,WoS,citation group 10-30,dataset not reused,high confidence","GEO,WoS,citation group 10-30,dataset not reused,high confidence",July,13,1616,,OXFORD UNIV PRESS,,{\^{}\^{}10027\_10-30\^{}\^{}Effective similarity measures for expression profiles},,http://dx.doi.org/10.1093/bioinformatics/btl127,22,2006,23,55.73913043,1,
,citation group 10-30, 10-30,high confidence,,dataset not reused,,,GEO,WoS,"Using the genomic library constructed at the downstream of the niiA promoter, which induces the overexpression of an inserted DNA fragment, we have attempted to screen the genes affecting growth or development by over-expression. The wild-type strain was transformed using the AMA-niiA(p) library and cultured on 1.2 M sorbitol media, in which asexual sporulation is induced, but sexual development is repressed. Over 100,000 strains transformed to pjrG(+) were analyzed with regard to any changes in phenotype. Consequently, seven strains were isolated for further analyses. These strain;,were designated NOT vertical bar(n) under bar iiA(p) (o) under bar ver-expression (t) under bar ransformants vertical bar stains. Fourof the strains were of the inducible type, and the remaining strains were of the multi-copy suppression type. Two of the inducible-type strains, NOT1 and NOT40, harbored genes which had been inserted in reverse direction, suggesting that the mutant phenotypes had been derived from an excess amount of anti-sense mRNA. Domain analyses of the deduced polypeptides from the DNA fragments rescued from the transformants revealed that NOT1, NOT40 and NOT6 harbored a LisH motif, a forkhead domain, and a Zn(II)(2)Cys(6) binuclear zinc cluster, respectively.","Wonkwang Univ, Inst Basic Nat Sci, Iksan 570749, South Korea; Wonkwang Univ, Grad Sch, Dept Biol, Iksan 570749, South Korea; Pai Chai Univ, Res Ctr Biomed Resources, Taejon 302735, South Korea; SEOUL; KOREA SCIENCE \& TECHNOLOGY CENTER 803, 635-4 YEOGSAM-D","; data\_id:GSE2239; data\_collection\_article:Shapira M, Segal E, Botstein D. Disruption of yeast forkhead-associated cell cycle transcription by oxidative stress. Mol Biol Cell 2004 Dec;15(12):5659-69. PMID: 15371544",,GSE2239,,:C$\backslash$:/Users/Jonathan/Documents/Mendeley Desktop/J. Microbiol./Lee et al./Lee et al. - 2005 - 10031\_10-30Screening of growth- or development-related genes by using genomic library with inducible promoter in Aspergillus nidulans.pdf:pdf,,,ISI:000234356600008,J. Microbiol.,"Article,Aspergillus nidulans,GEO,NOT mutants,WoS,citation group 10-30,dataset not reused,high confidence,over-e","GEO,WoS,citation group 10-30,dataset not reused,high confidence",December,6,523,,MICROBIOLOGY SOC KOREA,,{\^{}\^{}10031\_10-30\^{}\^{}Screening of growth- or development-related genes by using genomic library with inducible promoter in Aspergillus nidulans},,,43,2005,23,55.73913043,1,
,citation group 30-100, 30-100,high confidence,,dataset not reused,,,GEO,WoS,"Testosterone is required for the maturation of male germ cells, the production of sperm and thus male fertility. However, the mechanisms by which testosterone regulates spermatogenic processes have not been well defined. In this review, classical and non-classical pathways of testosterone signaling in the Sertoli cells of the testis are discussed in relation to testosterone-regulated processes that are required for spermatogenesis. (C) 2008 Elsevier Inc. All rights reserved.","[Walker, William H.] Univ Pittsburgh, Magee Womens Res Inst, Dept Cell Biol \& Physiol, Pittsburgh, PA 15213 USA; [Walker, William H.] Univ Pittsburgh, Magee Womens Res Inst, Ctr Res Reprod Physiol, Pittsburgh, PA 15213 USA; NEW YORK; 360 PARK AVE SOUTH, N","; data\_id:GSE2259; data\_collection\_article:Denolet E, De Gendt K, Allemeersch J, Engelen K et al. The effect of a sertoli cell-selective knockout of the androgen receptor on testicular gene expression in prepubertal mice. Mol Endocrinol 2006 Feb;20(2):321-34. PMID: 16166195",,GSE2259,10.1016/j.steroids.2008.11.017,:C$\backslash$:/Users/Jonathan/Documents/Mendeley Desktop/Steroids/Walker/Walker - 2009 - 10034\_30-100Molecular mechanisms of testosterone action in spermatogenesis.pdf:pdf,,,ISI:000265893600009,Steroids,"GEO,MAP kinase,Non-genomic,Proceedings Paper,Testis,WoS,citation group 30-100,dataset not reused,high confidence","GEO,WoS,citation group 30-100,dataset not reused,high confidence",July,7,602,,ELSEVIER SCIENCE INC,,{\^{}\^{}10034\_30-100\^{}\^{}Molecular mechanisms of testosterone action in spermatogenesis},,http://dx.doi.org/10.1016/j.steroids.2008.11.017,74,2009,44,55.73913043,1,
,citation group 100-300, 100-300,high confidence,,dataset not reused,,,GEO,WoS,"During an immune response, B cells undergo rapid proliferation and activation-induced cytidine deaminase (AID)-dependent remodeling of immunoglobulin (IG) genes within germinal centers (GCs) to generate memory B and plasma cells. Unfortunately, the genotoxic stress associated with the GC reaction also promotes most B cell malignancies. Here, we report that exogenous and intrinsic AID-induced DNA strand breaks activate ATM, which signals through an LKB1 intermediate to inactivate CRTC2, a transcriptional coactivator of CREB. Using genome-wide location analysis, we determined that CRTC2 inactivation unexpectedly represses a genetic program that controls GC B cell proliferation, self-renewal, and differentiation while opposing lymphomagenesis. Inhibition of this pathway results in increased GC B cell proliferation, reduced antibody secretion, and impaired terminal differentiation. Multiple distinct pathway disruptions were also identified in human GC B cell lymphoma patient samples. Combined, our data show that CRTC2 inactivation, via physiologic DNA damage response signaling, promotes B cell differentiation in response to genotoxic stress.","[Sherman, Mara H.; Pellegrini, Matteo; Teitell, Michael A.] Univ Calif Los Angeles, David Geffen Sch Med, Inst Mol Biol, Los Angeles, CA 90095 USA; [Kuraishy, Ali I.] Univ Calif Los Angeles, David Geffen Sch Med, Dept Human Genet, Los Angeles, CA 90095 US","; data\_id:GSE2350; data\_collection\_article:Basso K, Margolin AA, Stolovitzky G, Klein U et al. Reverse engineering of regulatory networks in human B cells. Nat Genet 2005 Apr;37(4):382-90. PMID: 15778709",,GSE2350,10.1016/j.molcel.2010.08.019,:C$\backslash$:/Users/Jonathan/Documents/Mendeley Desktop/Mol. Cell/Sherman et al./Sherman et al. - 2010 - 10004\_100-300AID-Induced Genotoxic Stress Promotes B Cell Differentiation in the Germinal Center via ATM and LKB1 Signaling.pdf:pdf,,,ISI:000282377200008,Mol. Cell,"Article,CLASS-SWITCH RECOMBINATION,GEO,TCL1 ONCOGENE,WoS,citation group 100-300,dataset not reused,high confidence","GEO,WoS,citation group 100-300,dataset not reused,high confidence",September,6,873,,CELL PRESS,,{\^{}\^{}10004\_100-300\^{}\^{}AID-Induced Genotoxic Stress Promotes B Cell Differentiation in the Germinal Center via ATM and LKB1 Signaling},,http://dx.doi.org/10.1016/j.molcel.2010.08.019,39,2010,298,55.73913043,1,
,citation group 100-300, 100-300,high confidence,,dataset not reused,,,GEO,WoS,"Motivation: The solution of high-dimensional inference and prediction problems in computational biology is almost always a compromise between mathematical theory and practical constraints, such as limited computational resources. As time progresses, computational power increases but well-established inference methods often remain locked in their initial suboptimal solution. Results: We revisit the approach of Segal et al. to infer regulatory modules and their condition-specific regulators from gene expression data. In contrast to their direct optimization-based solution, we use a more representative centroid-like solution extracted from an ensemble of possible statistical models to explain the data. The ensemble method automatically selects a subset of most informative genes and builds a quantitatively better model for them. Genes which cluster together in the majority of models produce functionally more coherent modules. Regulators which are consistently assigned to a module are more often supported by literature, but a single model always contains many regulator assignments not supported by the ensemble. Reliably detecting condition-specific or combinatorial regulation is particularly hard in a single optimum but can be achieved using ensemble averaging.","[Joshi, Anagha; Van de Peer, Yves; Michoel, Tom] Univ Ghent VIB, Dept Plant Syst Biol, B-9052 Ghent, Belgium; [Joshi, Anagha; Van de Peer, Yves; Michoel, Tom] Univ Ghent, Dept Mol Genet, B-9052 Ghent, Belgium; [Marchal, Kathleen] KULeuven, ESAT SCD, B-300","; data\_id:GSE2350; data\_collection\_article:Basso K, Margolin AA, Stolovitzky G, Klein U et al. Reverse engineering of regulatory networks in human B cells. Nat Genet 2005 Apr;37(4):382-90. PMID: 15778709",,GSE2350,10.1093/bioinformatics/btn658,:C$\backslash$:/Users/Jonathan/Documents/Mendeley Desktop/Bioinformatics/Joshi et al./Joshi et al. - 2009 - 10011\_100-300Module networks revisited computational assessment and prioritization of model predictions.pdf:pdf,,,ISI:000263406000011,Bioinformatics,"Article,GENE-EXPRESSION DATA,GEO,REGULATORY NETWORKS,WoS,citation group 100-300,dataset not reused,high confidence","GEO,WoS,citation group 100-300,dataset not reused,high confidence",February,4,490,,OXFORD UNIV PRESS,,{\^{}\^{}10011\_100-300\^{}\^{}Module networks revisited: computational assessment and prioritization of model predictions},,http://dx.doi.org/10.1093/bioinformatics/btn658,25,2009,298,55.73913043,1,
attribution in text,,,low confidence,data cited,dataset not reused,,,GEO,GS,,,"Basso K, Margolin AA, Stolovitzky G, Klein U et al. Reverse engineering of regulatory networks in human B cells. Nat Genet 2005 Apr;37(4):382-90. PMID: 15778709 Phan RT, Saito M, Basso K, Niu H et al. BCL6 interacts with the transcription factor Miz-1 to suppress the cyclin-dependent kinase inhibitor p21 and cell cycle arrest in germinal center B cells. Nat Immunol 2005 Oct;6(10):1054-60. PMID: 16142238 Basso K, Saito M, Sumazin P, Margolin AA et al. Integrated biochemical and computational approach identifies BCL6 direct target genes controlling multiple pathways in normal germinal center B cells. Blood 2010 Feb 4;115(5):975-84. PMID: 19965633 GSE2350 While we have addressed the transcrip- tional profile of lymphomas and normal B-cell subsets (GSE2350,6 GEO database7) previously, normal brain tissue (GSE2164,8 GEO database) was assessed by Vawter et al.8 using the same platform.",,GSE2350,10.1038/sj.leu.2405019,":C$\backslash$:/Users/Jonathan/Documents/Mendeley Desktop/Leukemia/Montesinos-Rongen, Brunn, Bentink/Montesinos-Rongen, Brunn, Bentink - 2007 - Gene expression profiling suggests primary central nervous system lymphomas to be derived from a late germinal center B.pdf:pdf",,,,Leukemia,"GEO,GS,attribution in text,data cited,dataset not reused,feedback please,low confidence","GEO,GS,attribution in text,data cited,dataset not reused,feedback please,low confidence",,,,,,,{Gene expression profiling suggests primary central nervous system lymphomas to be derived from a late germinal center B cell},,http://www.nature.com/leu/journal/v22/n2/abs/2405019a.html,,2007,298,1,1,
,citation group 3-10, 3-10,high confidence,,dataset not reused,,,GEO,WoS,"The development of colon cancer is highly influenced by lifestyle factors such as nutrition and physical inactivity. Detailed biological. mechanisms are thus far unclear. The purpose of this study was to investigate the effects of regular treadmill. exercise on gene expression in rat colon mucosa. For this purpose, 6-week-old mate Wistar rats completed a stress-free voluntary treadmill exercise period of 12 weeks. Sedentary rats served as a control group. In the colon mucosa, steady-state mRNA expression levels of approximately 10,000 genes were compared between both groups by micro-array analysis (MWG rat 10 K array). A total of 8846 mRNAs were detected above background level. Regular exercise led to a decreased expression of 47 genes at a threshold-factor of 2.0. Three genes were found to be up-regulated in the exercise group. The identified genes encode proteins involved in signal transduction (n = 11), transport (n = 8), immune system (n = 7), cytoskeleton (n = 6), protein targeting (n = 6), metabolism (n = 5), transcription (n = 3) and vascularization (n = 2). Among the genes regulated by regular exercise, the betaine-homocysteine methyltransferase 2 (BHMT2) seems to be of particular interest. Physical activity may protect against aberrant methylation by repressing the BHMT2 gene and thus contribute to a decreased risk of developing colon cancer. We have also identified vascular endothelial, growth factor (VEGF), angiopoietin-2 (ANG-2) and calcium-independent phospholipase a2 (iPL-A2), all of them with markedly reduced transcript levels in the mucosa of active rats. In summary, our experiment presents the first gene expression pattern in rat colon mucosa following regular treadmill activity and represents an important step in understanding the molecular mechanisms responsible for the preventive effect of physical activity on the development of colon cancer. (c) 2007 Elsevier GmbH. All rights reserved.","[Buehmeyer, K.; Schulz, T.; Michna, H.] Tech Univ Munich, Publ Hlth Res Inst, D-80809 Munich, Germany; [Doering, F.] Univ Kiel, Mol Nutr Unit, D-24118 Kiel, Germany; [Daniel, H.; Kindermann, B.] Tech Univ Munich, Mol Nutr Unit, D-85350 Freising Weihenstep","; data\_id:GSE2418; data\_collection\_article:H\""{a}gg U, Johansson ME, Gr\""{o}nros J, Naylor AS et al. Gene expression profile and aortic vessel distensibility in voluntarily exercised spontaneously hypertensive rats: potential role of heat shock proteins. Physiol Genomics 2005 Aug 11;22(3):319-26. PMID: 15914578",,GSE2418,10.1016/j.aanat.2007.04.002,:C$\backslash$:/Users/Jonathan/Documents/Mendeley Desktop/Ann. Anat.-Anat. Anz./Buehmeyer et al./Buehmeyer et al. - 2008 - 10031\_3-10Alteration of gene expression in rat colon mucosa after exercise.pdf:pdf,,,ISI:000253894000009,Ann. Anat.-Anat. Anz.,"Article,GEO,WoS,citation group 3-10,colon cancer,dataset not reused,high confidence,physical activi,prevention","GEO,WoS,citation group 3-10,dataset not reused,high confidence",,1,71,,"ELSEVIER GMBH, URBAN \& FISCHER VERLAG",,{\^{}\^{}10031\_3-10\^{}\^{}Alteration of gene expression in rat colon mucosa after exercise},,http://dx.doi.org/10.1016/j.aanat.2007.04.002,190,2008,6,55.73913043,1,
,citation group 3-10, 3-10,high confidence,,dataset not reused,,,GEO,WoS,"Gene expression differences accompany both the onset and established phases of hypertension. By an integrated genome-transcriptome approach we performed a meta-analysis of data from 74 microarray experiments available on public databases to identify genes with altered expression in the kidney, adrenal, heart, and artery of spontaneously hypertensive and Lyon hypertensive rats. To identify genes responsible for the onset of hypertension we used a statistical approach that sought to eliminate expression differences that occur during maturation unrelated to hypertension. Based on this adjusted fold-difference statistic, we found 36 genes for which the expression differed between the prehypertensive phase and established hypertension. Genes having possible relevance to hypertension onset included Actn2, Ankrd1, ApoE, Cd36, Csrp3, Me1, Myl3, Nppa, Nppb, Pln, Postn, Spp1, Slc21a4, Slc22a2, Thbs4, and Tnni3. In established hypertension 102 genes exhibited altered expression after Bonferroni correction (P<0.05). These included Atp5o, Ech1, Fabp3, Gnb3, Ldhb, Myh6, Lpl, Pkkaca, Vegfb, Vcam1, and reduced nicotinamide-adenine dinucleotide dehydrogenases. Among the genes identified, there was an overrepresentation of gene ontology terms involved in energy production, fatty acid and lipid metabolism, oxidation, and transport. These could contribute to increases in reactive oxygen species. Our meta-analysis has revealed many new genes for which the expression is altered in hypertension, so pointing to novel potential causative, maintenance, and responsive mechanisms and pathways. (Hypertension. 2010;56:319-324.)","[Marques, Francine Z.; Morris, Brian J.] Univ Sydney, Sch Med Sci, Basic \& Clin Genom Lab, Sydney, NSW 2006, Australia; [Marques, Francine Z.; Morris, Brian J.] Univ Sydney, Bosch Inst, Sydney, NSW 2006, Australia; [Campain, Anna E.; Yang, Yee Hwa J.] Uni","; data\_id:GSE2418; data\_collection\_article:H\""{a}gg U, Johansson ME, Gr\""{o}nros J, Naylor AS et al. Gene expression profile and aortic vessel distensibility in voluntarily exercised spontaneously hypertensive rats: potential role of heat shock proteins. Physiol Genomics 2005 Aug 11;22(3):319-26. PMID: 15914578",,GSE2418,10.1161/HYPERTENSIONAHA.110.155366,:C$\backslash$:/Users/Jonathan/Documents/Mendeley Desktop/Hypertension/Marques et al./Marques et al. - 2010 - 10017\_3-10Meta-Analysis of Genome-Wide Gene Expression Differences in Onset and Maintenance Phases of Genetic Hypertension.pdf:pdf,,,ISI:000279880200025,Hypertension,"Article,GEO,Lyon hype,WoS,accession mentioned,citation group 3-10,dataset not reused,high confidence,spontaneously hypertensive rat","GEO,WoS,accession mentioned,citation group 3-10,dataset not reused,high confidence",August,2,319,,LIPPINCOTT WILLIAMS \& WILKINS,,{\^{}\^{}10017\_3-10\^{}\^{}Meta-Analysis of Genome-Wide Gene Expression Differences in Onset and Maintenance Phases of Genetic Hypertension},,http://dx.doi.org/10.1161/HYPERTENSIONAHA.110.155366,56,2010,6,55.73913043,1,1
attribution in table,,,high confidence,data cited,dataset not reused,multiple datasets cited,,GEO,GS,"Gene expression differences accompany both the onset and established phases of hypertension. By an integrated genome-transcriptome approach we performed a meta-analysis of data from 74 microarray experiments available on public databases to identify genes with altered expression in the kidney, adrenal, heart, and artery of spontaneously hypertensive and Lyon hypertensive rats. To identify genes responsible for the onset of hypertension we used a statistical approach that sought to eliminate expression differences that occur during maturation unrelated to hypertension. Based on this adjusted fold-difference statistic, we found 36 genes for which the expression differed between the prehypertensive phase and established hypertension. Genes having possible relevance to hypertension onset included Actn2, Ankrd1, ApoE, Cd36, Csrp3, Me1, Myl3, Nppa, Nppb, Pln, Postn, Spp1, Slc21a4, Slc22a2, Thbs4, and Tnni3. In established hypertension 102 genes exhibited altered expression after Bonferroni correction (P<0.05). These included Atp5o, Ech1, Fabp3, Gnb3, Ldhb, Myh6, Lpl, Pkkaca, Vegfb, Vcam1, and reduced nicotinamide-adenine dinucleotide dehydrogenases. Among the genes identified, there was an overrepresentation of gene ontology terms involved in energy production, fatty acid and lipid metabolism, oxidation, and transport. These could contribute to increases in reactive oxygen species. Our meta-analysis has revealed many new genes for which the expression is altered in hypertension, so pointing to novel potential causative, maintenance, and responsive mechanisms and pathways.",,"H\""{a}gg U, Johansson ME, Gr\""{o}nros J, Naylor AS et al. Gene expression profile and aortic vessel distensibility in voluntarily exercised spontaneously hypertensive rats: potential role of heat shock proteins. Physiol Genomics 2005 Aug 11;22(3):319-26. PMID: 15914578 GSE2418 Table S3. Studies excluded from the meta-analysis and the reason for exclusion",,GSE2418,10.1161/HYPERTENSIONAHA.110.155366,:C$\backslash$:/Users/Jonathan/Documents/Mendeley Desktop/Hypertension/Marques et al./Marques et al. - 2010 - Meta-analysis of genome-wide gene expression differences in onset and maintenance phases of genetic hypertension.pdf:pdf,,,1524-4563,Hypertension,"Age of Onset,Animals,Energy Metabolism,Energy Metabolism: genetics,Fatty Acids,Fatty Acids: metabolism,GEO,GS,Gene Expression Regulation,Genetic,Genome-Wide Association Study,Hypertension,Hypertension: genetics,Hypertension: physiopathology,Inbred SHR,Lipids,Lipids: physiology,Models,Oligonucleotide Array Sequence Analysis,Oxidative Phosphorylation,Rats,attribution in table,data cited,dataset not reused,high confidence,multiple datasets cited","GEO,GS,attribution in table,data cited,dataset not reused,high confidence,multiple datasets cited",August,2,319--24,20585107,Am Heart Assoc,,{Meta-analysis of genome-wide gene expression differences in onset and maintenance phases of genetic hypertension.},,http://www.ncbi.nlm.nih.gov/pubmed/20585107,56,2010,6,1,1,
,citation group 100-300, 100-300,high confidence,,dataset not reused,,,GEO,WoS,"Long interspersed element type 1 (L1) retrotransposons are ubiquitous mammalian mobile elements and potential tools for in vivo mutagenesis; however, native L1 elements are relatively inactive in mice when introduced as transgenes. We have previously described a synthetic L1 element, ORFeus, containing two synonymously recoded ORFs relative to mouse L1. It is significantly more active for retrotransposition in cell culture than all native L1 elements tested. To study its activity in vivo, we developed a transgenic mouse model in which ORFeus expression was controlled by a constitutive heterologous promoter, and we established definitive evidence for ORFeus retrotransposition activity both in germ line and somatic tissues. Germ line retrotransposition frequencies resulting in 0.33 insertions per animal are seen among progeny of ORFeus donor element heterozygotes derived from a single founder, representing a > 20-fold increase over native L1 elements. We observe somatic transposition events in 100\% of the ORFeus donor-containing animals, and an average of 17 different insertions are easily recovered from each animal; modeling suggests that the number of somatic insertions per animal exceeds this number by perhaps several orders of magnitude. Nearly 200 insertions were precisely mapped, and their distribution in the mouse genome appears random relative to transcription units and guanine-cytosine content. The results suggest that ORFeus may be developed into useful tools for in vivo mutagenesis.","Johns Hopkins Univ, Sch Med, High Throughput Biol Ctr, Baltimore, MD 21205 USA; Johns Hopkins Univ, Sch Med, Dept Genet \& Mol Biol, Baltimore, MD 21205 USA; WASHINGTON; 2101 CONSTITUTION AVE NW, WASHINGTON, DC 20418 USA","; data\_id:GSE2499; data\_collection\_article:Muotri AR, Chu VT, Marchetto MC, Deng W et al. Somatic mosaicism in neuronal precursor cells mediated by L1 retrotransposition. Nature 2005 Jun 16;435(7044):903-10. PMID: 15959507",,GSE2499,10.1073/pnas.0605300103,:C$\backslash$:/Users/Jonathan/Documents/Mendeley Desktop/Proc. Natl. Acad. Sci. U. S. A./An et al./An et al. - 2006 - 10026\_100-300Active retrotransposition by a synthetic L1 element in mice.pdf:pdf,,,ISI:000242689800051,Proc. Natl. Acad. Sci. U. S. A.,"Article,GEO,L,WoS,citation group 100-300,dataset not reused,gene trap,high confidence,integration site preference","GEO,WoS,citation group 100-300,dataset not reused,high confidence",December,49,18662,,NATL ACAD SCIENCES,,{\^{}\^{}10026\_100-300\^{}\^{}Active retrotransposition by a synthetic L1 element in mice},,http://dx.doi.org/10.1073/pnas.0605300103,103,2006,129,55.73913043,1,
,citation group 100-300, 100-300,high confidence,,dataset not reused,,,GEO,WoS,"Head circumferences that are significantly smaller than normal are generally associated with lower intelligence, showing the relationship between intelligence and brain size (Dolk 1991). Some of the factors that lead to normal brain size are beginning to be understood by the study of genes that lead to small brains when disrupted. Some of the genes that cause microcephaly are integral to DNA repair. The relationships between different mechanisms of microcephaly are just beginning to be understood. Interestingly, there are potential relationships between the various mechanisms.","[Gilmore, Edward C.; Walsh, Christopher A.] Beth Israel Deaconess Med Ctr, Dept Neurol, Boston, MA 02215 USA; BERLIN; HEIDELBERGER PLATZ 3, D-14197 BERLIN, GERMANY","; data\_id:GSE2499; data\_collection\_article:Muotri AR, Chu VT, Marchetto MC, Deng W et al. Somatic mosaicism in neuronal precursor cells mediated by L1 retrotransposition. Nature 2005 Jun 16;435(7044):903-10. PMID: 15959507",,GSE2499,10.1007/978-3-540-74966-0\_9,":C$\backslash$:/Users/Jonathan/Documents/Mendeley Desktop/Res. Perspect. Neurosci./Gilmore, Walsh/Gilmore, Walsh - 2008 - 10014\_100-300Microcephalies and DNA repair.pdf:pdf",,,ISI:000254343900009,Res. Perspect. Neurosci.,"GEO,Proceedings Paper,STRAND BREAK REPAIR,TELANGIECT,WoS,citation group 100-300,dataset not reused,high confidence","GEO,WoS,citation group 100-300,dataset not reused,high confidence",,,109,,SPRINGER-VERLAG BERLIN,,{\^{}\^{}10014\_100-300\^{}\^{}Microcephalies and DNA repair},,,,2008,129,55.73913043,1,
